Time [ms];;;;IR RAW;RED RAW
19;10;21,118;;47855;47864
19;10;21,129;0,011;47875;47900
19;10;21,14;0,011;47886;47918
19;10;21,153;0,013;47881;47923
19;10;21,164;0,011;47891;47913
19;10;21,176;0,012;47892;47908
19;10;21,187;0,011;47896;47915
19;10;21,199;0,012;47909;47928
19;10;21,211;0,012;47899;47907
19;10;21,222;0,011;47915;47922
19;10;21,234;0,012;47910;47901
19;10;21,246;0,012;47905;47912
19;10;21,257;0,011;47892;47899
19;10;21,269;0,012;47883;47882
19;10;21,282;0,013;47880;47887
19;10;21,293;0,011;47865;47879
19;10;21,305;0,012;47860;47877
19;10;21,317;0,012;47862;47888
19;10;21,329;0,012;47886;47894
19;10;21,34;0,011;47880;47925
19;10;21,352;0,012;47891;47914
19;10;21,364;0,012;47885;47908
19;10;21,375;0,011;47902;47929
19;10;21,387;0,012;47906;47941
19;10;21,399;0,012;47942;47944
19;10;21,411;0,012;47946;47959
19;10;21,422;0,011;47941;47963
19;10;21,434;0,012;47947;47939
19;10;21,445;0,011;47949;47954
19;10;21,457;0,012;47958;47952
19;10;21,469;0,012;47959;47969
19;10;21,481;0,012;47972;47963
19;10;21,493;0,012;47991;47950
19;10;21,504;0,011;47994;47960
19;10;21,517;0,013;47988;47976
19;10;21,528;0,011;48002;47959
19;10;21,539;0,011;48021;47968
19;10;21,551;0,012;48003;47984
19;10;21,563;0,012;48006;47979
19;10;21,575;0,012;48014;47963
19;10;21,587;0,012;48040;47967
19;10;21,598;0,011;48040;47982
19;10;21,61;0,012;48049;47971
19;10;21,622;0,012;48048;47981
19;10;21,633;0,011;48052;47983
19;10;21,645;0,012;48076;47987
19;10;21,657;0,012;48085;47987
19;10;21,668;0,011;48082;48002
19;10;21,68;0,012;48136;48014
19;10;21,692;0,012;48129;48002
19;10;21,704;0,012;48137;48030
19;10;21,716;0,012;48167;48035
19;10;21,727;0,011;48164;48031
19;10;21,738;0,011;48153;48021
19;10;21,751;0,013;48158;48005
19;10;21,763;0,012;48092;47978
19;10;21,774;0,011;47994;47924
19;10;21,785;0,011;47904;47885
19;10;21,798;0,013;47844;47850
19;10;21,809;0,011;47788;47838
19;10;21,821;0,012;47732;47814
19;10;21,833;0,012;47722;47801
19;10;21,845;0,012;47716;47808
19;10;21,857;0,012;47720;47821
19;10;21,869;0,012;47687;47808
19;10;21,88;0,011;47727;47832
19;10;21,892;0,012;47758;47843
19;10;21,904;0,012;47760;47863
19;10;21,916;0,012;47759;47864
19;10;21,928;0,012;47777;47876
19;10;21,939;0,011;47785;47864
19;10;21,951;0,012;47780;47852
19;10;21,963;0,012;47766;47868
19;10;21,974;0,011;47769;47885
19;10;21,986;0,012;47784;47895
19;10;21,998;0,012;47801;47873
19;10;22,10;0,102;47784;47887
19;10;22,22;0,12;47800;47879
19;10;22,33;0,11;47783;47865
19;10;22,45;0,12;47795;47871
19;10;22,56;0,11;47776;47877
19;10;22,68;0,12;47785;47841
